127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000434
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000878
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/js/share.js, HTTP/1.1, 200, 0.001442
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/images/favicon.ico, HTTP/1.1, 200, 0.000400
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/images/facebook.png, HTTP/1.1, 200, 0.000506
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/images/twitter.png, HTTP/1.1, 200, 0.002277
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/images/gplus-32.png, HTTP/1.1, 200, 0.000580
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/default/index, HTTP/1.1, 200, 0.148777
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000657
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/js/jquery.js, HTTP/1.1, 304, 0.000492
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/css/web2py.css, HTTP/1.1, 304, 0.000452
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/js/web2py.js, HTTP/1.1, 304, 0.000395
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/js/calendar.js, HTTP/1.1, 304, 0.002940
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000468
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/css/calendar.css, HTTP/1.1, 304, 0.000585
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.006183
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000619
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000826
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002759
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/js/share.js, HTTP/1.1, 304, 0.003670
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/images/gplus-32.png, HTTP/1.1, 304, 0.000831
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/images/facebook.png, HTTP/1.1, 304, 0.000475
127.0.0.1, 2014-11-01 17:41:34, GET, /circi/static/images/twitter.png, HTTP/1.1, 304, 0.000744
127.0.0.1, 2014-11-01 17:41:36, GET, /circi/default/show_records, HTTP/1.1, 200, 0.015622
127.0.0.1, 2014-11-01 17:41:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000505
127.0.0.1, 2014-11-01 17:41:44, GET, /circi/default/show-records, HTTP/1.1, 404, 0.016527
127.0.0.1, 2014-11-01 17:41:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000305
127.0.0.1, 2014-11-01 17:41:50, GET, /circi/default/show_records, HTTP/1.1, 200, 0.015918
127.0.0.1, 2014-11-01 17:41:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2014-11-01 17:43:47, GET, /circi/default/show_records, HTTP/1.1, 200, 0.014112
127.0.0.1, 2014-11-01 17:43:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2014-11-01 17:45:49, GET, /circi/default/show_records, HTTP/1.1, 500, 0.076823
127.0.0.1, 2014-11-01 17:45:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
127.0.0.1, 2014-11-01 17:45:51, GET, /admin/default/ticket/circi/127.0.0.1.2014-11-01.17-45-48.b59c42f2-58c3-4f12-ba4c-38af9414d4ca, HTTP/1.1, 303, 0.089286
127.0.0.1, 2014-11-01 17:45:51, GET, /admin/default/index, HTTP/1.1, 200, 0.050903
127.0.0.1, 2014-11-01 17:45:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
127.0.0.1, 2014-11-01 17:45:54, POST, /admin/default/index, HTTP/1.1, 303, 0.041597
127.0.0.1, 2014-11-01 17:45:54, GET, /admin/default/ticket/circi/127.0.0.1.2014-11-01.17-45-48.b59c42f2-58c3-4f12-ba4c-38af9414d4ca, HTTP/1.1, 200, 0.058261
